"","prob_attack_comp","prob_attack_anto","prob_attack_cybe","prob_att_mr_ddos","prob_att_mr_social","portf_num","sprk","fd","ddos_prot","secconfig","malwprot","patchvul","ids","conventional","cyber1","cyber2","cost_controls","defender_cost","defender_utility"
"1",0.8,0,0,0,0,100,0,0,1,0,0,0,0,1,0,1,27000,0.0274557,0.998739733618854
"2",0.4,0,0,0,0,99,1,0,1,0,0,0,0,1,0,1,27600,0.02793418,0.99871770292187
"3",0.6,0,0,0,0,76,0,0,1,1,1,0,0,1,0,1,32000,0.03205642,0.998527807599079
"4",0.6,0,0,0,0,52,0,0,1,0,1,1,0,1,0,1,32600,0.03275624,0.998495552560392
"5",0.8,0,0,0,0,97,1,1,1,0,0,0,0,1,0,1,32400,0.03284268,0.998491568116604
"6",0.6,0,0,0,0,90,0,1,1,1,0,0,0,1,0,1,32800,0.03289114,0.998489334373104
"7",0.8,0,0,0,0,89,1,1,1,1,0,0,0,1,0,1,33400,0.03351284,0.998460674892246
"8",0.6,0,0,0,0,66,0,1,1,0,0,1,0,1,0,1,33400,0.0335953,0.998456873315848
"9",0.6,0,0,0,0,65,1,1,1,0,0,1,0,1,0,1,34000,0.03427776,0.998425407812991
"10",0.4,0,0,0,0,58,0,1,1,1,0,1,0,1,0,1,34400,0.03446076,0.998416969639203
