,prob_attack_comp,prob_attack_anto,prob_attack_cybe,prob_att_mr_ddos,prob_att_mr_social,portf_num,sprk,fd,ddos_prot,secconfig,malwprot,patchvul,ids,conventional,cyber1,cyber2,cost_controls,defender_cost,defender_utility
1,0,0,0.544,0,0,388,1,1,0,1,0,0,1,0,1,0,43400,3.43940659419945,0.424614161046051
2,0,0,0.549,0,0,400,1,1,1,1,1,1,0,0,1,0,31000,3.50213811313195,0.419325899300812
3,0,0,0.557,0,0,158,1,1,0,1,1,1,0,0,0,1,24000,3.49081477867037,0.419206073497751
4,0,0,0.585,0,0,323,0,1,1,1,0,0,0,1,1,0,27800,3.59912974905895,0.414687536659835
5,0,0,0.558,0,0,193,0,0,0,1,1,0,0,0,0,1,17000,3.54321490805612,0.40906217907075
6,0,0,0.571,0,0,179,0,1,1,0,0,1,0,0,0,1,30400,3.61777010023368,0.407612571494517
7,0,0,0.55,0,0,181,0,0,1,0,0,1,0,0,0,1,25600,3.50374660866107,0.403239026482817
8,0,0,0.539,0,0,78,0,1,0,1,1,0,0,1,0,1,24800,3.5230371023174,0.402657189436752
9,0,0,0.56,0,0,455,0,0,0,1,0,0,0,0,1,0,8000,3.57232992800747,0.40259803919716
10,0,0,0.555,0,0,170,1,1,1,1,0,1,0,0,0,1,32000,3.57093457419263,0.402230689202916
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,1,1,0,1,0,0,1,Cyber1,43400,3.43940659419945,0.424614161046051,,,,
,,,,,1,1,1,1,1,1,0,Cyber1,31000,3.50213811313195,0.419325899300812,,,,
,,,,,1,1,0,1,1,1,0,Cyber2,24000,3.49081477867037,0.419206073497751,,,,
,,,,,0,1,1,1,0,0,0,Conventional+Cyber1,27800,3.59912974905895,0.414687536659835,,,,
,,,,,0,0,0,1,1,0,0,Cyber2,17000,3.54321490805612,0.40906217907075,,,,
